Jogador,Time,#,Nação,Pos.,Idade,Min.,Gols,Assis.,PB,PT,TC,CaG,CrtsA,CrtV,Contatos,Div,Crts,Bloqueios,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Conduções,PrgC,Tent,Suc,Data
Fabinho,Palmeiras,35,BRA,AM,22-005,25.0,0,0,0,0,0,0,0,0,21.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,20.0,"80,0",6.0,13.0,0.0,0.0,0.0,2024-04-14
Gabriel Menino,Palmeiras,25,BRA,DM,23-198,90.0,0,0,0,0,2,0,1,0,59.0,2.0,0,5.0,0.2,0.2,0.1,6.0,0.0,36.0,43.0,"83,7",5.0,38.0,3.0,1.0,1.0,2024-04-14
Richard Ríos,Palmeiras,27,COL,DM,23-317,66.0,1,0,0,0,1,1,1,0,31.0,6.0,0,1.0,0.2,0.2,0.0,2.0,0.0,12.0,17.0,"70,6",1.0,18.0,1.0,4.0,2.0,2024-04-14
José López,Palmeiras,42,ARG,DM,23-130,24.0,0,0,0,0,1,0,1,0,15.0,0.0,0,1.0,0.1,0.1,0.0,1.0,0.0,8.0,10.0,"80,0",2.0,13.0,1.0,0.0,0.0,2024-04-14
Vanderlan,Palmeiras,6,BRA,LB,21-220,90.0,0,0,0,0,1,0,0,0,27.0,3.0,0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,"61,1",2.0,16.0,0.0,0.0,0.0,2024-04-14
Murilo Cerqueira,Palmeiras,26,BRA,CB,27-018,90.0,0,0,0,0,1,1,0,0,37.0,2.0,1,1.0,0.1,0.1,0.0,0.0,0.0,27.0,31.0,"87,1",3.0,26.0,1.0,0.0,0.0,2024-04-14
Luan Garcia,Palmeiras,13,BRA,CB,30-340,90.0,0,0,0,0,0,0,0,0,35.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,28.0,"82,1",0.0,24.0,0.0,1.0,1.0,2024-04-14
Mayke,Palmeiras,12,BRA,RB,31-156,90.0,0,0,0,0,0,0,1,0,61.0,4.0,5,2.0,0.0,0.0,0.0,1.0,0.0,35.0,46.0,"76,1",3.0,34.0,1.0,0.0,0.0,2024-04-14
Wéverton,Palmeiras,21,BRA,GK,36-123,90.0,0,0,0,0,0,0,0,0,34.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,33.0,"54,5",0.0,23.0,0.0,0.0,0.0,2024-04-14
Germán Cano,Fluminense,14,ARG,"FW,AM",36-071,88.0,0,0,0,0,5,3,0,0,34.0,0.0,0,0.0,0.7,0.7,0.2,4.0,0.0,19.0,25.0,"76,0",1.0,19.0,1.0,2.0,0.0,2024-04-13
Kauã Elias,Fluminense,19,BRA,AM,18-016,2.0,0,0,0,0,0,0,0,0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"0,0",0.0,1.0,0.0,1.0,0.0,2024-04-13
Jhon Arias,Fluminense,21,COL,LW,26-205,90.0,0,0,0,0,3,2,0,0,58.0,0.0,1,0.0,0.1,0.1,0.0,8.0,0.0,34.0,45.0,"75,6",7.0,37.0,5.0,7.0,2.0,2024-04-13
Marquinhos,Fluminense,77,BRA,"RW,RB",21-006,90.0,0,0,0,0,4,2,1,0,71.0,0.0,0,1.0,0.1,0.1,0.4,3.0,0.0,40.0,49.0,"81,6",1.0,42.0,4.0,6.0,0.0,2024-04-13
Ganso,Fluminense,10,BRA,"AM,DM",34-184,79.0,0,2,0,0,0,0,0,0,71.0,1.0,0,0.0,0.0,0.0,0.3,12.0,2.0,65.0,69.0,"94,2",9.0,35.0,2.0,1.0,1.0,2024-04-13
Felipe Vieira,Fluminense,13,,CB,,11.0,0,0,0,0,0,0,0,0,11.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,"100,0",1.0,9.0,0.0,0.0,0.0,2024-04-13
Lima,Fluminense,45,BRA,DM,27-307,90.0,2,0,0,0,4,2,0,0,75.0,0.0,2,1.0,0.3,0.3,0.0,3.0,0.0,53.0,60.0,"88,3",4.0,35.0,0.0,5.0,1.0,2024-04-13
André,Fluminense,7,BRA,"DM,CB",22-272,90.0,0,0,0,0,0,0,1,0,79.0,0.0,1,0.0,0.0,0.0,0.0,3.0,1.0,63.0,69.0,"91,3",8.0,46.0,0.0,5.0,4.0,2024-04-13
Marcelo,Fluminense,12,BRA,LB,35-337,90.0,0,0,0,0,3,0,0,0,74.0,1.0,1,3.0,0.1,0.1,0.0,5.0,0.0,48.0,64.0,"75,0",7.0,31.0,1.0,0.0,0.0,2024-04-13
Martinelli,Fluminense,8,BRA,CB,22-339,90.0,0,0,0,0,2,0,0,0,63.0,0.0,0,2.0,0.2,0.2,0.0,1.0,0.0,46.0,53.0,"86,8",1.0,35.0,0.0,0.0,0.0,2024-04-13
Felipe Melo,Fluminense,30,BRA,CB,40-292,57.0,0,0,0,0,1,0,0,0,41.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,27.0,34.0,"79,4",3.0,22.0,0.0,0.0,0.0,2024-04-13
John Kennedy,Fluminense,9,BRA,FW,21-331,33.0,0,0,0,0,2,1,0,0,13.0,1.0,0,0.0,0.1,0.1,0.0,1.0,0.0,7.0,8.0,"87,5",1.0,9.0,1.0,3.0,1.0,2024-04-13
Samuel Xavier,Fluminense,2,BRA,RB,33-312,57.0,0,0,0,0,2,1,0,0,47.0,2.0,0,0.0,0.1,0.1,0.2,3.0,0.0,34.0,37.0,"91,9",0.0,22.0,2.0,0.0,0.0,2024-04-13
Douglas Costa,Fluminense,90,BRA,RW,33-212,33.0,0,0,0,0,0,0,0,0,30.0,0.0,1,1.0,0.0,0.0,0.2,3.0,0.0,17.0,27.0,"63,0",0.0,18.0,2.0,4.0,3.0,2024-04-13
Fábio,Fluminense,1,BRA,GK,43-196,90.0,0,0,0,0,0,0,0,0,34.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,32.0,"84,4",0.0,17.0,0.0,0.0,0.0,2024-04-13
Henry Mosquera,Red Bull Bragantino,30,COL,"RM,FW",22-150,90.0,0,0,0,0,0,0,0,0,26.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,12.0,"50,0",0.0,18.0,3.0,5.0,2.0,2024-04-13
Eduardo Sasha,Red Bull Bragantino,19,BRA,"FW,LW",32-049,90.0,1,0,0,0,5,3,0,0,29.0,1.0,1,1.0,0.4,0.4,0.1,3.0,0.0,15.0,20.0,"75,0",1.0,12.0,0.0,0.0,0.0,2024-04-13
Ignacio Laquintana,Red Bull Bragantino,33,URU,RW,25-072,45.0,0,0,0,0,1,1,0,0,15.0,0.0,0,0.0,0.1,0.1,0.0,2.0,0.0,8.0,10.0,"80,0",2.0,8.0,2.0,1.0,1.0,2024-04-13
Vitinho,Red Bull Bragantino,28,BRA,LM,25-012,45.0,0,2,0,0,1,1,1,0,17.0,3.0,0,0.0,0.0,0.0,0.5,5.0,3.0,8.0,11.0,"72,7",1.0,5.0,0.0,1.0,0.0,2024-04-13
Gustavinho,Red Bull Bragantino,22,BRA,LM,19-356,45.0,0,0,0,0,0,0,0,0,29.0,4.0,0,1.0,0.0,0.0,0.1,3.0,0.0,11.0,20.0,"55,0",3.0,6.0,0.0,2.0,1.0,2024-04-13
Thiago Borbas,Red Bull Bragantino,18,URU,FW,22-006,45.0,1,0,0,0,3,3,0,0,18.0,2.0,0,1.0,0.5,0.5,0.0,1.0,0.0,3.0,5.0,"60,0",0.0,5.0,0.0,0.0,0.0,2024-04-13
Raul,Red Bull Bragantino,23,BRA,CM,27-277,45.0,0,0,0,0,0,0,0,0,20.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,17.0,"88,2",4.0,8.0,0.0,0.0,0.0,2024-04-13
Eric Ramires,Red Bull Bragantino,7,BRA,CM,23-247,45.0,0,0,0,0,1,0,0,0,20.0,6.0,0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,12.0,"66,7",2.0,5.0,0.0,0.0,0.0,2024-04-13
Jadsom,Red Bull Bragantino,5,BRA,"CM,RM",22-329,90.0,0,0,0,0,1,0,1,0,29.0,2.0,0,1.0,0.0,0.0,0.2,2.0,0.0,16.0,21.0,"76,2",3.0,18.0,0.0,0.0,0.0,2024-04-13
Juninho Capixaba,Red Bull Bragantino,29,BRA,LB,26-282,69.0,0,0,0,0,1,0,1,0,41.0,3.0,1,1.0,0.1,0.1,0.0,1.0,0.0,21.0,34.0,"61,8",4.0,19.0,0.0,0.0,0.0,2024-04-13
Guilherme,Red Bull Bragantino,31,BRA,LB,22-059,21.0,0,0,0,0,2,0,0,0,13.0,0.0,1,1.0,0.0,0.0,0.0,1.0,0.0,4.0,7.0,"57,1",0.0,5.0,1.0,0.0,0.0,2024-04-13
Luan Cândido,Red Bull Bragantino,36,BRA,CB,23-071,90.0,0,0,0,0,1,0,1,0,32.0,2.0,2,1.0,0.0,0.0,0.0,1.0,0.0,12.0,17.0,"70,6",0.0,9.0,0.0,0.0,0.0,2024-04-13
Douglas Mendes,Red Bull Bragantino,39,BRA,CB,19-305,90.0,0,0,0,0,0,0,0,0,27.0,1.0,0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,19.0,"73,7",2.0,17.0,0.0,0.0,0.0,2024-04-13
José Hurtado,Red Bull Bragantino,34,ECU,RB,22-112,90.0,0,0,0,0,0,0,0,0,47.0,4.0,1,1.0,0.0,0.0,0.0,3.0,1.0,23.0,34.0,"67,6",4.0,18.0,5.0,3.0,3.0,2024-04-13
Cleiton Schwengber,Red Bull Bragantino,1,BRA,GK,26-238,45.0,0,0,0,0,0,0,0,0,17.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,"46,2",0.0,4.0,0.0,0.0,0.0,2024-04-13
Lucão,Red Bull Bragantino,40,BRA,GK,23-047,45.0,0,0,0,0,0,0,0,0,17.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,"26,7",0.0,8.0,0.0,0.0,0.0,2024-04-13
Jonathan Calleri,São Paulo,9,ARG,FW,30-203,90.0,0,0,0,0,3,0,0,0,29.0,1.0,0,0.0,0.1,0.1,0.0,0.0,0.0,15.0,21.0,"71,4",0.0,16.0,1.0,1.0,1.0,2024-04-13
Luciano,São Paulo,10,BRA,FW,30-331,75.0,0,0,0,0,1,0,1,0,49.0,0.0,0,2.0,0.0,0.0,0.0,4.0,0.0,31.0,35.0,"88,6",2.0,34.0,1.0,3.0,2.0,2024-04-13
André Silva,São Paulo,17,BRA,FW,26-315,15.0,1,0,0,0,1,1,0,0,7.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,"50,0",0.0,6.0,0.0,2.0,1.0,2024-04-13
Giuliano Galoppo,São Paulo,8,ARG,AM,24-300,58.0,0,0,0,0,0,0,0,0,36.0,1.0,1,2.0,0.0,0.0,0.0,0.0,0.0,24.0,28.0,"85,7",1.0,26.0,2.0,1.0,0.0,2024-04-13
James Rodríguez,São Paulo,55,COL,AM,32-276,32.0,0,0,0,0,0,0,0,0,39.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,26.0,36.0,"72,2",6.0,21.0,0.0,1.0,0.0,2024-04-13
Pablo Maia,São Paulo,29,BRA,CM,22-094,90.0,0,0,0,0,3,0,0,0,86.0,4.0,0,2.0,0.1,0.1,0.0,2.0,0.0,62.0,75.0,"82,7",7.0,51.0,0.0,2.0,1.0,2024-04-13
Rodrigo Nestor,São Paulo,11,BRA,CM,23-248,15.0,0,0,0,0,0,0,1,0,24.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,23.0,"73,9",0.0,16.0,4.0,0.0,0.0,2024-04-13
Michel Araujo,São Paulo,15,URU,WB,27-198,64.0,0,0,0,0,1,1,0,0,71.0,1.0,1,0.0,0.1,0.1,0.0,5.0,0.0,50.0,58.0,"86,2",4.0,39.0,0.0,6.0,4.0,2024-04-13
William Gomes,São Paulo,39,BRA,WB,18-029,26.0,0,0,0,0,2,1,0,0,23.0,1.0,0,2.0,0.1,0.1,0.0,1.0,0.0,10.0,16.0,"62,5",0.0,12.0,5.0,1.0,1.0,2024-04-13
Igor Vinícius de Souza,São Paulo,2,BRA,WB,27-012,64.0,0,0,0,0,1,0,0,0,64.0,2.0,0,1.0,0.0,0.0,0.0,4.0,0.0,46.0,58.0,"79,3",2.0,41.0,5.0,6.0,4.0,2024-04-13
Diego,São Paulo,4,BRA,CB,24-267,90.0,0,0,0,0,0,0,0,0,119.0,1.0,3,1.0,0.0,0.0,0.0,0.0,0.0,93.0,109.0,"85,3",11.0,91.0,3.0,0.0,0.0,2024-04-13
Robert Arboleda,São Paulo,5,ECU,CB,32-174,90.0,0,0,0,0,1,1,0,0,117.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,107.0,112.0,"95,5",3.0,86.0,0.0,0.0,0.0,2024-04-13
Nahuel Ferraresi,São Paulo,32,VEN,CB,25-146,90.0,0,0,0,0,0,0,0,0,105.0,3.0,3,1.0,0.0,0.0,0.0,2.0,0.0,92.0,98.0,"93,9",12.0,70.0,0.0,0.0,0.0,2024-04-13
Rafael Pires,São Paulo,23,BRA,GK,34-295,90.0,0,0,0,0,0,0,0,0,21.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,21.0,"81,0",0.0,12.0,0.0,0.0,0.0,2024-04-13
Juan Martín Lucero,Fortaleza,9,ARG,FW,32-135,82.0,1,0,0,0,1,1,1,0,20.0,0.0,0,0.0,0.1,0.1,0.0,0.0,0.0,11.0,17.0,"64,7",0.0,10.0,0.0,1.0,0.0,2024-04-13
Guilherme Tinga,Fortaleza,2,BRA,FW,30-225,8.0,0,0,0,0,0,0,0,0,12.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,"40,0",0.0,4.0,0.0,1.0,1.0,2024-04-13
Marinho,Fortaleza,11,BRA,FW,33-320,57.0,0,0,0,0,0,0,0,0,14.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,8.0,"87,5",1.0,10.0,0.0,3.0,1.0,2024-04-13
Moises,Fortaleza,21,BRA,FW,27-224,33.0,0,0,0,0,0,0,0,0,15.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,11.0,"81,8",1.0,7.0,0.0,1.0,0.0,2024-04-13
Hércules,Fortaleza,35,BRA,CM,23-176,71.0,0,0,0,0,1,0,0,0,34.0,1.0,0,1.0,0.0,0.0,0.0,2.0,0.0,22.0,24.0,"91,7",4.0,22.0,0.0,3.0,3.0,2024-04-13
Pedro Borges,Fortaleza,28,BRA,CM,27-041,19.0,0,1,0,0,0,0,0,0,7.0,2.0,0,1.0,0.0,0.0,0.2,1.0,1.0,2.0,3.0,"66,7",0.0,1.0,0.0,0.0,0.0,2024-04-13
José Welison,Fortaleza,17,BRA,CM,29-033,71.0,0,0,0,0,0,0,0,0,37.0,4.0,2,3.0,0.0,0.0,0.0,1.0,0.0,19.0,24.0,"79,2",3.0,12.0,1.0,0.0,0.0,2024-04-13
Lucas Sasha,Fortaleza,88,BRA,CM,34-043,19.0,0,0,0,0,0,0,0,0,16.0,4.0,0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,"57,1",0.0,5.0,0.0,0.0,0.0,2024-04-13
Tomas Pochettino,Fortaleza,7,ARG,CM,28-072,90.0,0,1,0,0,1,0,1,0,43.0,0.0,0,2.0,0.0,0.0,0.2,4.0,1.0,24.0,30.0,"80,0",4.0,22.0,0.0,4.0,2.0,2024-04-13
Bruno Pacheco,Fortaleza,6,BRA,WB,32-127,90.0,0,0,0,0,1,0,0,0,46.0,3.0,0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,35.0,"45,7",1.0,22.0,1.0,3.0,2.0,2024-04-13
Yago Pikachu,Fortaleza,22,BRA,WB,31-313,58.0,0,0,0,0,0,0,0,0,19.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,"66,7",0.0,10.0,0.0,0.0,0.0,2024-04-13
Imanol Machuca,Fortaleza,39,ARG,WB,24-089,32.0,1,0,0,0,2,1,0,0,13.0,0.0,0,0.0,0.2,0.2,0.0,0.0,0.0,3.0,6.0,"50,0",1.0,9.0,4.0,1.0,1.0,2024-04-13
Titi,Fortaleza,4,BRA,CB,36-032,90.0,0,0,0,0,0,0,0,0,36.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,15.0,27.0,"55,6",0.0,17.0,1.0,0.0,0.0,2024-04-13
Benjamín Kuscevic,Fortaleza,13,CHI,CB,27-347,90.0,0,0,0,0,0,0,0,0,39.0,4.0,0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,27.0,"66,7",0.0,15.0,0.0,0.0,0.0,2024-04-13
Emanuel Brítez,Fortaleza,19,ARG,CB,32-018,90.0,0,0,0,0,0,0,1,0,36.0,6.0,0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,25.0,"60,0",2.0,13.0,0.0,0.0,0.0,2024-04-13
João Ricardo Riedi,Fortaleza,1,BRA,GK,35-220,90.0,0,0,0,0,0,0,0,0,39.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,33.0,"60,6",0.0,23.0,0.0,0.0,0.0,2024-04-13
